iter	RMSE
0	6787971319
1	6691427636
2	6583358983
3	6436896675
4	6317794230
5	6204517785
6	6105222029
7	5963694707
8	5858956150
9	5764903994
10	5677860830
11	5611846040
12	5522787414
13	5437149113
14	5352364275
15	5284053736
16	5208237484
17	5132428567
18	5038256442
19	4953768799
20	4876325642
21	4817699253
22	4739372005
23	4661875969
24	4598308841
25	4523015209
26	4466173318
27	4408918027
28	4359678494
29	4313012765
30	4256899422
31	4200114664
32	4131279902
33	4073229973
34	4027292637
35	3978710277
36	3929094951
37	3890539515
38	3847921895
39	3801607608
40	3757468270
41	3717110051
42	3663108457
43	3615275098
44	3574275616
45	3549373855
46	3503770699
47	3475754804
48	3430061054
49	3388765614
50	3367133376
51	3332285561
52	3278537049
53	3246026043
54	3204284115
55	3177480447
56	3125137172
57	3103962582
58	3068040666
59	3046239197
60	3015947108
61	2987684301
62	2965925853
63	2939357870
64	2903421238
65	2876939420
66	2848415336
67	2831187962
68	2810161023
69	2784885254
70	2768548975
71	2724985307
72	2697605447
73	2681561467
74	2665723676
75	2638614429
76	2615588312
77	2590294191
78	2558221663
79	2525041245
80	2511583979
81	2489675026
82	2475178363
83	2452674305
84	2429548710
85	2417815905
86	2380301622
87	2366870742
88	2340818143
89	2328051541
90	2312938730
91	2275042365
92	2258676962
93	2246508155
94	2231557480
95	2220385436
96	2207738272
97	2192758194
98	2175406393
99	2165587939
100	2136474887
101	2119514897
102	2095870238
103	2079887689
104	2069109233
105	2044152137
106	2027325544
107	2006862385
108	1996529647
109	1987019213
110	1976200528
111	1966801753
112	1955958509
113	1945053012
114	1913179697
115	1894069948
116	1876487009
117	1863954998
118	1854508047
119	1842932222
120	1832204505
121	1809501043
122	1796846183
123	1782831762
124	1771847858
125	1764250790
126	1754766602
127	1747432591
128	1737327674
129	1729408404
130	1720859349
131	1712013077
132	1693031713
133	1686512148
134	1668908260
135	1661316976
136	1654792172
137	1638900065
138	1632683622
139	1615833120
140	1610023645
141	1603956223
142	1597844094
143	1591942246
144	1585221919
145	1578845664
146	1561865581
147	1555487031
148	1539297453
149	1526360939
150	1514937334
151	1510402444
152	1506718882
153	1486650056
154	1480816873
155	1472034841
156	1460315852
157	1455709648
158	1445807833
159	1441051597
160	1425498447
161	1421426627
162	1415934978
163	1410467034
164	1399684179
165	1395728276
166	1378919908
167	1375024942
168	1369400352
169	1366238828
170	1358656087
171	1344210770
172	1333083114
173	1328864388
174	1324568751
175	1308831607
176	1304805405
177	1301234861
178	1289681161
179	1285395705
180	1275808147
181	1268585140
182	1264271235
183	1251727869
184	1243169567
185	1239367623
186	1236182236
187	1220894689
188	1211477123
189	1199212324
190	1187068807
191	1183450443
192	1170809483
193	1167734728
194	1158495253
195	1155925589
196	1152470023
197	1144588332
198	1138865802
199	1127823421
200	1121048346
201	1118358555
202	1103373746
203	1091087418
204	1079703734
205	1074510720
206	1066380094
207	1060882957
208	1055227445
209	1049496562
210	1046862084
211	1034142407
212	1029372815
213	1027061137
214	1017327452
215	1005547714
216	999494450.4
217	997422239.9
218	995102051
219	984741172.5
220	978655183.6
221	974027432.7
222	966772800.5
223	964500635
224	953984043
225	951581782.1
226	949556702
227	940570080.9
228	932721555.9
229	930496183.6
230	926465784.3
231	918643754.3
232	908339734.2
233	899454594.2
234	891574109.4
235	883457110
236	881624250.9
237	874869109.4
238	873108012.8
239	871380743.9
240	869731994.4
241	868116577.1
242	859793725.7
243	858165180
244	854517714.3
245	847628091.2
246	840154099.3
247	836625496.4
248	832714859.8
249	824264684.7
250	822798870.8
251	813857747.9
252	807387603.9
253	805985460.7
254	804610500.1
255	803262206.1
256	801988188
257	800723762.8
258	794085329.8
259	787301493.1
260	786030415.2
261	784875368.9
262	783691773.6
263	778845089.6
264	772447755
265	765207558.7
266	764048228.4
267	762911547.4
268	761797079.4
269	756349821.4
270	755272340.9
271	754191665.7
272	748510744.8
273	743159372.4
274	742142990.2
275	738593396.8
276	732253307
277	731273386.8
278	729033804.5
279	724362945.8
280	719508242.3
281	714222060.1
282	712194081.1
283	707829037.5
284	705875039.7
285	703926772.7
286	698757639.9
287	696163336.1
288	695238951.6
289	694398910.6
290	693574033.8
291	691337851.1
292	686623212.7
293	681763114.6
294	679930180.2
295	676272088.3
296	673182043.8
297	669705723.3
298	667388071.9
299	663547672.8
300	662661962.1
301	661855070.3
302	658343173.1
303	654709307.8
304	654021887.4
305	649893887.8
306	646057139.2
307	645390252.3
308	644550636.9
309	640548466.3
310	637800126.1
311	636992982.6
312	635889778.8
313	630933332.3
314	630236438.5
315	628419739.1
316	623327541.1
317	622511611.9
318	619034928.5
319	614867496.5
320	610845697.7
321	607332936.5
322	604273773.9
323	599712160.7
324	595944595.3
325	592690726.4
326	588777985.7
327	585655472.8
328	582883831.5
329	579621705.7
330	577485554
331	574444931
332	571539392.7
333	569286622.5
334	567852569.3
335	563771229.5
336	560419123.3
337	558281437.7
338	556005336
339	553888499.7
340	551196870.6
341	550165503.6
342	547779390.1
343	544764934
344	542114072.1
345	541128782.4
346	538892410
347	535165590.1
348	534220696.8
349	531961165.4
350	528642749.5
351	525522254.1
352	522492489
353	519229616.9
354	515691813.7
355	513189537.6
356	512221172.7
357	509288698.2
358	507349863.5
359	504649284.4
360	501449332.5
361	501091902.8
362	497996990
363	495284685.6
364	492299050.5
365	489440114
366	486541431.7
367	486178406.4
368	483697088.7
369	481426305.9
370	478777841.4
371	477699718.3
372	477365614.1
373	477020532.8
374	475345056
375	472771193.6
376	472456278.3
377	472132088
378	471815370.3
379	469297006.9
380	469000539.6
381	468005621.3
382	467725806.1
383	465267890.4
384	462461615
385	462178421.2
386	459817769.6
387	459539416.1
388	459266861.6
389	456939541
390	454584958.9
391	452239768.2
392	450130438.2
393	449852351.2
394	447621595.7
395	445306633.7
396	443021514.2
397	440522403.8
398	437830372.8
399	437573017.8
400	435593477.8
401	433834422.6
402	431575498.6
403	429901612.2
404	427765229.4
405	425823450.6
406	424622833.2
407	423971011.7
408	423571639.9
409	421079380.8
410	419486105.1
411	419117645.6
412	416785145.9
413	414766545.3
414	412978460.5
415	412027538.4
416	409769601.3
417	409387356.2
418	407165160.6
419	406253498.4
420	405314382.6
421	403406222.3
422	403175653.2
423	401820308.3
424	400995273.3
425	400700020.2
426	400342449.2
427	398700427.1
428	396614370.7
429	396266783.1
430	396057615.5
431	394884803.1
432	394029785
433	392212164.3
434	390614598.1
435	389793869.1
436	389526564.9
437	387488446.3
438	387095001
439	385253334.5
440	384766585.5
441	382897258.1
442	381015808.3
443	379920502
444	379668935.1
445	377730626.1
446	376191447.7
447	374513304
448	373744608.9
449	372993638.3
450	371243690.7
451	369133317.2
452	367223023
453	367041634.8
454	364868885.7
455	362888521.5
456	362124009.9
457	360505822.5
458	358685915.1
459	357982447.6
460	356170855.6
461	354475492.1
462	353644504.9
463	352924769.4
464	351524764.3
465	350855091.9
466	349838702.5
467	347741917.4
468	346171624.7
469	344229247.4
470	342151044.6
471	340676687.2
472	339719687.7
473	338213017.4
474	336749904.3
475	334789125.4
476	333111817
477	332303975.6
478	331397357.3
479	330605582.5
480	328519091.8
481	326539184.6
482	325938562
483	324985936.9
484	324137509.5
485	323289244.5
486	322544568.6
487	321477423.3
488	321026958.3
489	320751949.7
490	319713489
491	318996493.2
492	317723486.2
493	316261528.2
494	315156591.5
495	313996489.9
496	313860320.8
497	312118386.2
498	310540118
499	309831473
500	309151278
501	308490822.2
502	306766394.6
503	305304065.6
504	304406134.6
505	302827734.8
506	301057819.6
507	300410026.5
508	299199763.1
509	298066465
510	296645293.3
511	296044600
512	294910538.8
513	293576841.6
514	292992035.9
515	291307290.3
516	290625970.6
517	290497354.9
518	290330628.2
519	289773738.9
520	289292458.2
521	287878803.1
522	286404188.5
523	286286382.1
524	285563069.1
525	284180927.3
526	284062957.6
527	282945362.3
528	282053062.7
529	281108281.1
530	280887478.5
531	280012201.8
532	279610418.8
533	279204106.8
534	278385528
535	277755473.3
536	277643491.1
537	276362518.7
538	275533910.2
539	274573158.2
540	273750728
541	273270167.4
542	272038622.1
543	271247979.6
544	271110515.1
545	270533338.7
546	269124650.6
547	268204236.7
548	267351236.3
549	267217591.9
550	267028333.7
551	266613818.6
552	266501592.7
553	265116049.3
554	264984350.1
555	263922132.7
556	263793626
557	263616860.6
558	262754267.6
559	261684387.8
560	261122797.3
561	259960988.9
562	259422922.4
563	258431851.2
564	257647493.2
565	257501031.8
566	257396195.9
567	257294870.3
568	256261273.5
569	255206055
570	254208521.5
571	253620410.6
572	253510197.2
573	252713908.6
574	252332133.2
575	251372745.6
576	251257744.3
577	250324385.7
578	249217126.6
579	248557777.2
580	248466273.1
581	248368572.8
582	247569846.1
583	247475152.8
584	246475554.2
585	245078628.4
586	244210104.2
587	243761894
588	243675522.6
589	242826493.7
590	242248081.8
591	241908256.9
592	241066802.2
593	240216113.8
594	239260425.6
595	237965794.4
596	237626513.5
597	236647320.2
598	235837356.1
599	235190853
600	235045041.6
601	234980177.7
602	233973191.6
603	233889709.9
604	233441095.3
605	232366466.3
606	231979810.8
607	231145801
608	231061480.3
609	230327778.3
610	229343722.8
611	228406986.4
612	227962761
613	227056234.5
614	226897714.7
615	226046087.7
616	225663974.2
617	225015152.2
618	224077312.1
619	223233985.1
620	222658597.5
621	221806891.7
622	221678148.5
623	220856058.1
624	220190874.6
625	219695087
626	218735429.2
627	218081574.4
628	217484861
629	216687206.7
630	216397846.6
631	215695828.5
632	215018830.8
633	214682104.2
634	214325713.3
635	213985120.9
636	213434497.1
637	212788191.6
638	212451232.6
639	211409810.7
640	210398152.1
641	209744383.7
642	209690259.7
643	209389386.9
644	208864158.4
645	207863085.9
646	207543249.8
647	206350998.9
648	205449013.8
649	204723187.8
650	204658829.5
651	204052022.5
652	203460844.8
653	202986259.9
654	202344449.8
655	201360703.8
656	200709541.5
657	199706557.4
658	199285517.2
659	198470023.7
660	197720257.9
661	197067692.9
662	196734980.1
663	196675730.4
664	196614405.1
665	196028699.1
666	195345457.8
667	195280330
668	195046827.4
669	194097098.4
670	193401028.1
671	193318997.9
672	192545728.2
673	191811907.5
674	191732328.2
675	190688997.1
676	190018242.8
677	189531002.1
678	188676001.2
679	188367874.3
680	188143100.2
