iter	Passed	Remaining
0	6	6554
1	12	6190
2	18	6080
3	24	6021
4	30	6019
5	35	5909
6	41	5830
7	46	5750
8	51	5715
9	57	5650
10	62	5605
11	67	5569
12	72	5524
13	78	5555
14	84	5573
15	90	5574
16	96	5578
17	102	5598
18	108	5599
19	114	5616
20	120	5628
21	126	5640
22	132	5644
23	139	5661
24	145	5670
25	151	5670
26	166	5988
27	171	5947
28	176	5912
29	181	5881
30	187	5848
31	192	5824
32	198	5803
33	204	5808
34	210	5805
35	216	5802
36	222	5790
37	228	5781
38	234	5769
39	239	5758
40	245	5749
41	251	5735
42	257	5726
43	263	5721
44	269	5712
45	275	5711
46	281	5699
47	286	5691
48	292	5685
49	298	5678
50	304	5672
51	310	5663
52	316	5653
53	322	5648
54	328	5641
55	334	5637
56	340	5632
57	346	5626
58	352	5622
59	357	5604
60	362	5586
61	368	5572
62	373	5560
63	379	5545
64	384	5527
65	389	5512
66	394	5499
67	400	5486
68	405	5474
69	410	5458
70	416	5450
71	422	5443
72	428	5436
73	434	5433
74	439	5424
75	445	5421
76	451	5415
77	457	5407
78	463	5400
79	468	5393
80	474	5385
81	480	5378
82	486	5370
83	491	5365
84	497	5358
85	503	5355
86	509	5347
87	515	5337
88	520	5325
89	525	5315
90	530	5303
91	536	5294
92	542	5286
93	547	5275
94	552	5265
95	558	5255
96	563	5245
97	568	5236
98	574	5224
99	579	5212
100	584	5203
101	589	5192
102	594	5181
103	600	5173
104	605	5163
105	611	5153
106	616	5143
107	621	5132
108	626	5122
109	632	5118
110	638	5113
111	644	5111
112	649	5100
113	655	5094
114	660	5085
115	666	5076
116	671	5066
117	676	5059
118	682	5052
119	687	5042
120	693	5038
121	699	5033
122	705	5028
123	711	5023
124	716	5018
125	723	5015
126	728	5010
127	734	5006
128	740	5002
129	746	4997
130	752	4992
131	758	4989
132	764	4984
133	770	4980
134	776	4975
135	782	4971
136	788	4965
137	794	4961
138	800	4955
139	805	4950
140	812	4947
141	818	4944
142	824	4939
143	829	4933
144	835	4928
145	841	4924
146	847	4917
147	852	4909
148	858	4900
149	863	4892
150	868	4883
151	874	4876
152	879	4868
153	884	4860
154	890	4852
155	895	4843
156	901	4838
157	907	4833
158	913	4829
159	918	4824
160	924	4819
161	931	4816
162	937	4815
163	944	4815
164	951	4814
165	958	4813
166	964	4812
167	972	4813
168	978	4812
169	985	4810
170	991	4806
171	997	4803
172	1003	4798
173	1010	4795
174	1016	4792
175	1023	4790
176	1029	4787
177	1036	4785
178	1042	4781
179	1049	4779
180	1055	4774
181	1060	4768
182	1066	4763
183	1072	4756
184	1078	4749
185	1083	4743
186	1089	4738
187	1095	4731
188	1100	4722
189	1106	4715
190	1111	4707
191	1116	4699
192	1122	4693
193	1127	4686
194	1133	4678
195	1138	4670
196	1143	4662
197	1149	4657
198	1155	4652
199	1161	4646
200	1167	4639
201	1172	4632
202	1178	4625
203	1183	4617
204	1188	4609
205	1193	4602
206	1199	4595
207	1204	4588
208	1210	4581
209	1215	4573
210	1220	4565
211	1226	4557
212	1231	4549
213	1236	4543
214	1242	4536
215	1247	4528
216	1253	4521
217	1259	4516
218	1265	4511
219	1271	4509
220	1278	4506
221	1284	4501
222	1290	4496
223	1296	4492
224	1302	4487
225	1308	4481
226	1314	4477
227	1320	4472
228	1327	4468
229	1333	4464
230	1339	4460
231	1345	4454
232	1351	4449
233	1357	4443
234	1364	4440
235	1371	4438
236	1378	4438
237	1385	4434
238	1391	4430
239	1398	4428
240	1404	4423
241	1411	4420
242	1417	4414
243	1422	4408
244	1428	4402
245	1434	4396
246	1440	4392
247	1446	4387
248	1452	4381
249	1459	4378
250	1465	4372
251	1470	4365
252	1476	4360
253	1482	4355
254	1488	4349
255	1494	4343
256	1500	4336
257	1505	4331
258	1511	4325
259	1517	4319
260	1523	4313
261	1529	4308
262	1535	4302
263	1541	4296
264	1547	4290
265	1552	4284
266	1558	4278
267	1564	4273
268	1570	4267
269	1576	4261
270	1582	4256
271	1588	4250
272	1594	4245
273	1600	4239
274	1605	4233
275	1611	4227
276	1617	4221
277	1623	4215
278	1629	4210
279	1635	4204
280	1640	4198
281	1647	4193
